Symbol,Period Ended,Quarter,Total Income,Total Expenses,Net Profit Loss from the Period,EPS,Price to earnings ratio,Number of shares,Market Cap,Price to sales ratio,Earnings Growth,PROJECTED EARNINGS GROWTH (PEG),Share Price,Share price change,Classification
ADANIPORTS,30-Sep-12,Second Quarter,105026,54227,27556,1.38,88.9,2070051620,2.53959E+11,2418060.81,0,NA,122.68,5.89,Bad
ADANIPORTS,31-Dec-12,Third Quarter,134990,63994,36109,1.8,72.17,2003394100,2.60239E+11,1927841.03,30.43,2.37,129.9,5.88,Bad
ADANIPORTS,31-Mar-13,Fourth Quarter,103551,50802,71031,3.55,37.59,2003394100,2.67372E+11,2582029.21,97.22,0.39,133.46,2.74,Bad
ADANIPORTS,30-Jun-13,First Quarter,147841,77336,41750,2.07,69.87,2070051620,2.99373E+11,2024966.89,-41.69,-1.68,144.62,8.36,Bad
ADANIPORTS,30-Sep-13,Second Quarter,114988,57673,34183,1.65,81.09,2070051620,2.76959E+11,2408592.25,-20.29,-4,133.79,-7.49,Bad
ADANIPORTS,31-Dec-13,Third Quarter,107984,61474,45051,2.18,69.09,2070051620,3.11767E+11,2887160.67,32.12,2.15,150.61,12.57,Good
ADANIPORTS,31-Mar-14,Fourth Quarter,111586,58829,52980,2.56,70.96,2070051620,3.76067E+11,3370195.66,17.43,4.07,181.67,20.62,Good
ADANIPORTS,30-Jun-14,First Quarter,126164,61585,56800,2.74,89.84,2070051620,5.09581E+11,4039035.26,7.03,12.78,246.17,35.5,Good
ADANIPORTS,30-Sep-14,Second Quarter,165512,83703,57352,2.77,97.48,2070051620,5.58947E+11,3377081.31,1.09,89.03,270.02,9.69,Bad
ADANIPORTS,31-Dec-14,Third Quarter,154633,86651,51208,2.47,125.66,2070051620,6.42523E+11,4155145.78,-10.83,-11.6,310.39,14.95,Good
ADANIPORTS,31-Mar-15,Fourth Quarter,168119,83291,66073,3.19,93.99,2070051620,6.20672E+11,3691863.09,29.15,3.22,299.83,-3.4,Bad
ADANIPORTS,30-Jun-15,First Quarter,171478,85081,63893,3.09,97.25,2070051620,6.22032E+11,3627474.82,-3.13,-31.02,300.49,0.22,Bad
ADANIPORTS,30-Sep-15,Second Quarter,180814,89819,67764,3.27,89.24,2070051620,6.04052E+11,3340737.05,5.83,15.32,291.81,-2.89,Bad
ADANIPORTS,31-Dec-15,Third Quarter,169603,91938,67532,3.26,78.1,2070051620,5.27081E+11,3107732.57,-0.31,-255.4,254.62,-12.74,Bad
ADANIPORTS,31-Mar-16,Fourth Quarter,194720,97788,91406,4.41,54.82,2070051620,5.00414E+11,2569913.86,35.28,1.55,241.74,-5.06,Bad
ADANIPORTS,30-Jun-16,First Quarter,182658,93780,83571,4.04,50.19,2070051620,4.1978E+11,2298177.35,-8.39,-5.98,202.79,-16.11,Bad
ADANIPORTS,30-Sep-16,Second Quarter,218305,101384,109081,5.26,47.85,2070051620,5.21047E+11,2386785.8,30.2,1.58,251.71,24.12,Good
ADANIPORTS,31-Dec-16,Third Quarter,223578,115935,84975,4.1,64.19,2070051620,5.44791E+11,2436694.32,-22.05,-2.91,263.18,4.56,Bad
ADANIPORTS,31-Mar-17,Fourth Quarter,223146,138154,116132,5.63,59.14,2070051620,6.89183E+11,3088483.67,37.32,1.58,332.93,26.5,Good
ADANIPORTS,30-Jun-17,First Quarter,274514,186743,70558,3.4,104.68,2070051620,7.36772E+11,2683914.04,-39.61,-2.64,355.92,6.91,Bad
ADANIPORTS,30-Sep-17,Second Quarter,270611,158419,99704,4.79,77.36,2070051620,7.67095E+11,2834676.42,40.88,1.89,370.57,4.12,Bad
ADANIPORTS,31-Dec-17,Third Quarter,268885,133086,100100,4.8,83.12,2070051620,8.25937E+11,3071712.42,0.21,398.16,398.99,7.67,Bad
ADANIPORTS,31-Mar-18,Fourth Quarter,348729,216210,92906,4.48,77.74,2070051620,7.20977E+11,2067442.69,-6.67,-11.66,348.29,-12.71,Bad
ADANIPORTS,30-Jun-18,First Quarter,270386,178146,69740,3.34,109.89,2070051620,7.59765E+11,2809926.05,-25.45,-4.32,367.03,5.38,Bad
ADANIPORTS,30-Sep-18,Second Quarter,292232,212277,61423,2.92,111.35,2070051620,6.73044E+11,2303114.4,-12.57,-8.85,325.13,-11.41,Bad
ADANIPORTS,31-Dec-18,Third Quarter,316888,134797,141893,6.8,56.36,2070051620,7.93369E+11,2503625.93,132.88,0.42,383.26,17.88,Good
ADANIPORTS,31-Mar-19,Fourth Quarter,216663,102398,67448,3.26,114.67,2070051620,7.73826E+11,3571566.59,-52.06,-2.2,373.82,-2.46,Bad
ADANIPORTS,30-Jun-19,First Quarter,321692,179634,102869,4.94,82.09,2070051620,8.39412E+11,2609364.88,51.53,1.59,405.5,8.48,Bad
ADANIPORTS,30-Sep-19,Second Quarter,332690,244056,105920,5.09,80.44,2070051620,8.47531E+11,2547510.6,3.04,26.49,409.43,0.97,Bad
ADANIPORTS,31-Dec-19,Third Quarter,383043,209140,135643,6.66,54.35,2070051620,7.49357E+11,1956326.83,30.84,1.76,362,-11.58,Bad
ASIANPAINT,30-Sep-07,Second Quarter,115962,96615,11386,11.87,3.58,95916977,4071992987,35114.89,38.99,0.09,42.453308,23.42,Good
ASIANPAINT,31-Dec-07,Third Quarter,119082,100707,11887,12.39,4.07,95914540,4840524455,40648.67,4.38,0.93,50.467056,18.88,Good
ASIANPAINT,31-Mar-08,Fourth Quarter,114640,99276,9452,9.85,5.59,95914540,5282292822,46077.22,-20.5,-0.27,55.07291,9.13,Bad
